lambda_3,expected_unmet,worst_case_unmet,transfer_burden,total_surge_beds
0.0,28.9622466,144.811233,671.6830134678275,212.73
0.5,28.96224662,144.81123309999998,671.6830134678275,212.73000000000002
1.0,28.96224662,144.81123309999998,671.6830134678275,212.73000000000002
2.0,28.96224662,144.81123309999998,671.6830134678275,212.73000000000002
4.0,28.962246600000004,144.81123300000002,671.6830134678275,212.73000000000002
