policy,London,South West,South East,Midlands,East of England,North West,North East and Yorkshire
Status quo (no surge),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Population-proportional,33.099136937555244,21.495745126694352,34.970688765943954,40.76642830562014,23.886027554734234,27.927924040431357,30.58404926902074
Demand-proportional,55.82301500959243,11.957307496952767,33.454227454635586,35.96298322046022,25.752725690048607,24.72042324968378,25.05931787862665
Greedy shortage-first,12.805000000000007,0.0,50.925000000000004,80.0,13.0,56.0,0.0
Deterministic MILP,0.0,0.0,50.925,0.0,0.42617963,0.0,0.0
"Robust MILP (CVaR, $\lambda_3{=}1$)",32.663886,0.0,50.925,47.224842,29.8934,38.392103,13.630769
Genetic Algorithm,34.47436719813585,0.0011034423758192558,50.92062165870501,49.90548904361721,14.26061314701429,60.407640782740614,2.7601647274112375
NSGA-II (repr.\ point),28.91698138100194,5.173743816159747,46.230176357536344,2.1657400321425846,0.05430328223009954,30.470644393397567,3.4909938913859997
Simulated Annealing,37.237031284981136,2.143995140033494,50.2111955417884,64.85562179223712,12.947177491174049,41.4038171901958,3.9311615595900076
