tau_min,expected_unmet,worst_case_unmet,transfer_burden,total_surge_beds
120,29.913709200000007,149.56854600000003,443.9344512588667,212.73000000000002
180,29.9137092,149.568546,443.9344512588667,212.73
240,28.96224662,144.81123309999998,671.6830134678275,212.73000000000002
300,28.962246600000004,144.81123300000002,671.6830134678275,212.73000000000002
360,28.962246600000004,144.81123300000002,671.6830134678275,212.73000000000002
