policy,method_key,n_origins,expected_unmet_mean,expected_unmet_p10,expected_unmet_p90,worst_case_unmet_mean,worst_case_unmet_p90,transfer_mean,transfer_p90,total_surge_mean,runtime_mean_s
Demand-proportional,demand_proportional,32,2.901664970625,0.0,0.0,14.508324853125,0.0,336.75940685589603,1288.95213009118,212.73000000000002,1.0050833225250244e-05
Deterministic MILP,deterministic_milp,32,8.0193277075,0.0,14.049839160000033,40.096638537500006,70.24919580000017,557.4565778451961,2108.394457634812,4.264738019687499,0.04291008412837982
Population-proportional,population_proportional,32,2.9016649725,0.0,0.0,14.5083248625,0.0,405.98099559237124,1425.8648237870082,212.73000000000002,0.0
"Robust MILP (CVaR, $\lambda_3{=}1$)",robust_milp_cvar1,32,2.901664981875,0.0,0.0,14.508324909374998,0.0,75.86366967697786,0.0,35.362336440625,0.04700654000043869
Status quo (no surge),status_quo,32,10.14045160125,0.0,14.049839160000033,50.70225800625,70.24919580000017,1230.942700146483,3623.700119089826,0.0,0.0
