policy,method_key,Expected unmet,Worst-case unmet,Transfer burden,Total surge beds,Runtime (s)
Status quo (no surge),status_quo,103.8216334,519.108167,10197.483305739805,0.0,0.0
Population-proportional,population_proportional,28.96224658,144.8112329,3119.8043249524853,212.73000000000002,0.0
Demand-proportional,demand_proportional,28.96224636,144.8112318,2615.273789660607,212.73000000000005,0.0
Greedy shortage-first,greedy_shortage_first,28.962246600000004,144.81123300000002,1140.0033655579496,212.73000000000002,8.662322759628296
Deterministic LP,deterministic_milp,83.2811618,416.40580900000003,1175.0726207595987,51.35117963,0.03038620948791504
Robust LP ($\lambda_3{=}1$),robust_milp_cvar1,28.96224662,144.81123309999998,671.6830134678275,212.73000000000002,0.0229036808013916
