model,horizon,region,n,mae,rmse,mape,underestimation_rate,expected_shortage,peak_error,peak_timing_error,wis_80,pinball_q10,pinball_q90
arima_per_region,7,East of England,32,7.603044423350039,9.246445666674836,0.2846201696410058,0.4375,88.46419768291327,10.162313032190923,0.0,,,
arima_per_region,7,London,32,16.716414724298787,21.208734090669108,0.174095690229629,0.46875,248.12352011118097,19.600728075584982,1.0,,,
arima_per_region,7,Midlands,32,9.696265896554735,12.74279677615708,0.259035770001282,0.40625,123.23580256553164,5.6010541716478315,1.0,,,
arima_per_region,7,North East and Yorkshire,32,5.886969823511039,7.650005725710444,0.20823173603148612,0.5,85.60657077163248,0.9685600376397474,1.0,,,
arima_per_region,7,North West,32,7.801679116547678,9.875603133588033,0.2630398294042707,0.5,117.30222789551831,4.051578977436833,1.0,,,
arima_per_region,7,South East,32,7.629705338070416,10.313470674304527,0.265610608974,0.5,108.59541453604683,25.748469762749423,0.0,,,
arima_per_region,7,South West,32,6.637175293386682,8.261469155417435,0.5093700906515831,0.46875,87.24525070563561,3.7916857356693896,1.0,,,
arima_per_region,14,East of England,32,10.03738577590105,12.758801721191478,0.35156560025255135,0.375,90.36990825279848,32.23568936639735,0.0,,,
arima_per_region,14,London,32,30.522198627854458,37.618874572233246,0.32409354621245345,0.5,408.1064502342355,56.36911699703279,1.0,,,
arima_per_region,14,Midlands,32,13.860726391533586,16.30401827438437,0.38035217866661514,0.375,149.06415821310313,36.48289143727473,0.0,,,
arima_per_region,14,North East and Yorkshire,32,9.117495586493641,11.725988995778023,0.29684804452870595,0.375,117.86969614579434,3.5189411970597035,2.0,,,
arima_per_region,14,North West,32,11.39515603162154,15.15923358644813,0.3813760719179807,0.46875,145.2404062022334,9.999506941050726,1.0,,,
arima_per_region,14,South East,32,12.435704459608777,16.960317169991185,0.44924596904107816,0.53125,170.91161597345717,41.451670136488104,0.0,,,
arima_per_region,14,South West,32,10.301999693957288,14.073606730235538,0.8139264860497077,0.53125,121.89549512358667,27.67802832471564,1.0,,,
arima_per_region,21,East of England,32,12.664991586494926,16.929226991070436,0.4849739046624545,0.375,103.93474785452796,48.61607609483018,0.0,,,
arima_per_region,21,London,32,39.434119938938196,49.45112704379529,0.42682528161583244,0.4375,478.7915350403188,72.55716517777233,0.0,,,
arima_per_region,21,Midlands,32,17.85538375581821,22.239816748953018,0.5408306807840912,0.40625,181.8714609664983,39.30160148257403,1.0,,,
arima_per_region,21,North East and Yorkshire,32,11.8394623641719,15.638242132984928,0.367087060811584,0.375,138.01876147478228,4.6489414514055625,3.0,,,
arima_per_region,21,North West,32,15.427638127356055,20.115734795132568,0.6040098743433797,0.5,173.97181028248025,41.81077346418057,1.0,,,
arima_per_region,21,South East,32,17.045250863290445,22.301756042536613,0.692394572158402,0.5,226.91132647225632,59.24199807923111,0.0,,,
arima_per_region,21,South West,32,12.519930049539873,17.211928103886024,1.026442260675582,0.53125,143.86702692800935,33.875294003038874,9.0,,,
arima_per_region,28,East of England,32,14.487157491860591,19.116399971771358,0.5828139457875026,0.34375,108.87360913751236,61.007118933007604,1.0,,,
arima_per_region,28,London,32,45.039624369790886,58.946645199179834,0.5078251804898433,0.4375,502.1944279309202,119.1395233818597,0.0,,,
arima_per_region,28,Midlands,32,24.012065227556583,28.762286430060282,0.7935891251539358,0.375,242.1083186276077,57.348521418618645,1.0,,,
