model,horizon,mae,rmse,mape,underestimation_rate,expected_shortage,peak_error,peak_timing_error,wis_80,pinball_q10,pinball_q90
arima_per_region,7,8.853036373674197,11.328360746074495,0.28057198499046526,0.46875,858.5729842684591,9.98919854184559,0.7142857142857143,,,
arima_per_region,14,13.952952366710049,17.800120150037422,0.4282011280955847,0.45089285714285715,1203.4577301452086,29.67654920000272,0.7142857142857143,,,
arima_per_region,21,18.112396669372803,23.412547408336984,0.5917948050073323,0.44642857142857145,1447.3666690188732,42.864549964718954,2.0,,,
arima_per_region,28,21.80660935306278,28.022740562398873,0.7985625508268999,0.4419642857142857,1663.7500920781035,60.288502438133044,5.571428571428571,,,
gru_per_region,7,11.02467828595593,14.130177838916927,0.36205539464226827,0.3794642857142857,845.9666773312409,22.525038600032904,0.8571428571428571,,,
gru_per_region,14,17.497522294281293,22.923193132305354,0.6000621246852742,0.22767857142857142,541.7074695940521,50.452775110041735,0.5714285714285714,,,
gru_per_region,21,26.09477366742223,33.34754439425847,1.0000924436008827,0.13839285714285715,231.3407074237244,69.96197192772942,2.0,,,
gru_per_region,28,36.868269027868564,43.97440947673008,1.5389479454847963,0.07589285714285714,97.85342388694549,86.52557539327545,5.571428571428571,,,
pinn_gru,7,9.042011419442789,11.023719170253619,0.42127249628486346,0.3125,453.45840833131814,10.579093876276389,0.7142857142857143,6.147317373478804,1.7542774725007726,2.9456928779960374
pinn_gru,14,12.049331005760612,14.456359791093025,0.5503215316958412,0.22767857142857142,374.88573330504033,23.108737925234372,0.42857142857142855,8.20088183609811,1.8394340014981467,4.437223249768712
pinn_gru,21,20.226600460851824,24.185747817684092,0.9752561978740079,0.14285714285714285,278.5332408169552,38.434513934037305,2.142857142857143,12.608843600372037,2.715426422675499,6.084538747456645
pinn_gru,28,28.72734038656474,34.63463189399182,1.3021244632102698,0.10267857142857142,164.8495746826177,68.33751646532802,5.428571428571429,18.37937652861893,4.841810659953114,8.363583939692909
seasonal_naive,7,10.558035714285714,13.525751007872287,0.3238340685918665,0.3705357142857143,768.0,7.714285714285714,1.0,,,
seasonal_naive,14,14.513392857142858,18.155054921530084,0.47854467268915496,0.3705357142857143,910.0,18.571428571428573,1.2857142857142858,,,
seasonal_naive,21,17.803571428571427,22.30669972310444,0.6266221313429116,0.36607142857142855,1003.0,27.857142857142858,2.142857142857143,,,
seasonal_naive,28,20.65625,25.975914019621875,0.7785611558817512,0.375,1086.0,41.857142857142854,5.142857142857143,,,
xgboost_per_region,7,9.498675691229957,12.449440087495747,0.3166935603113946,0.3705357142857143,577.3229656219482,9.256772722516741,0.8571428571428571,,,
xgboost_per_region,14,16.84990715129035,22.902417036133784,0.5652564922776021,0.33035714285714285,691.8121199607849,35.03446960449219,1.0,,,
xgboost_per_region,21,25.900461703538895,36.42432990371781,0.8879384741735491,0.2767857142857143,817.5490283966064,94.9757821219308,9.428571428571429,,,
xgboost_per_region,28,36.05184755155018,58.875095492414175,1.3409693023301905,0.2767857142857143,811.6895799636841,203.12532697405135,12.714285714285714,,,
arima_per_region,all,15.681248690704956,20.140942216711945,0.5247826172300705,0.45200892857142855,5173.147475510645,35.704700036175076,2.25,,,
gru_per_region,all,22.871310818882,28.593831210552707,0.8752894771033054,0.20535714285714285,1716.8682782359629,57.36634025776988,2.25,,,
pinn_gru,all,17.511320818154992,21.07511466825564,0.8122436722662456,0.19642857142857142,1271.7269571359313,35.114965550219026,2.1785714285714284,11.334104834641971,2.787737139156883,5.457759703728576
seasonal_naive,all,15.8828125,19.990854918032174,0.5518905071264211,0.3705357142857143,3767.0,24.0,2.392857142857143,,,
xgboost_per_region,all,22.075223024402344,32.66282062994038,0.7777144572731841,0.31361607142857145,2898.3736939430237,85.59808785574776,6.0,,,
