region,population_M,pinn_data,pinn_ode,pinn_total
East of England,6.348096,4.239018380758353e-06,6.6121297095378395e-06,4.900231488136342e-06
London,8.796628,3.516553078952711e-06,4.605823960446287e-06,3.977135293098399e-06
Midlands,10.834334,3.809127292697667e-06,2.3675604552408913e-06,4.045883542858064e-06
North East and Yorkshire,8.128203,6.854749244666891e-06,3.760221716220258e-06,7.2307711889152415e-06
North West,7.422295,3.4326158129260875e-06,7.556886430393206e-06,4.188304501440143e-06
South East,9.294023,3.9015749280224554e-06,2.528649474697886e-06,4.154439920966979e-06
South West,5.71284,2.900681693063234e-06,4.570109013002366e-06,3.3576925488887355e-06
